"id","Schule","Schwerpunkt","Motivation","EinschaetzungLehrer","Punkte"
1,1,"Kuenstlerisch",54.5007099319443,8.62245742927399,73.2599940931415
2,1,"Kuenstlerisch",44.1332711372375,14.8706360800191,61.3751697325023
3,1,"Kuenstlerisch",45.5125731934342,-14.6728566521595,51.9685291797868
4,1,"Kuenstlerisch",42.7774929986129,-0.561830336692549,53.5473187444115
5,1,"Kuenstlerisch",48.3449321082268,-4.5560189134493,59.7011211146543
6,1,"Kuenstlerisch",35.4968550627897,-9.16542428079472,41.9793608428365
7,1,"Kuenstlerisch",44.7037213597765,2.88746043047133,57.1773733467116
8,1,"Kuenstlerisch",51.3897736897793,11.1540554985391,69.4389661415036
9,1,"Kuenstlerisch",53.7474295919065,11.6447566551978,72.5491039310883
10,1,"Kuenstlerisch",51.2079126833309,-4.26446312218791,62.9137050123159
11,1,"Kuenstlerisch",55.0309285173142,14.0857896094226,74.922126199541
12,1,"Kuenstlerisch",49.0742698738849,13.5656060292057,69.2215700110629
13,1,"Kuenstlerisch",45.090866434045,11.822883130499,61.2369858353026
14,1,"Kuenstlerisch",50.4645397261902,-4.29797588899825,63.1776663297549
15,1,"Kuenstlerisch",49.7360780222443,0.905947385518708,64.5329119954387
16,1,"Kuenstlerisch",49.5983605073028,-6.67435010771039,61.1951628259683
17,1,"Kuenstlerisch",46.7294816638483,15.6719730534859,65.9669777744748
18,1,"Kuenstlerisch",45.2465824546021,7.30196327953759,60.7314568317771
19,1,"Kuenstlerisch",55.0978088140609,22.4845693619994,79.9876601434094
20,1,"Kuenstlerisch",54.295232061746,1.83892535168527,70.7090584834017
21,1,"Kuenstlerisch",51.8223039189956,5.95674185483136,67.743899630413
22,1,"Kuenstlerisch",51.9182550028001,1.54657580177411,65.4297928748474
23,1,"Kuenstlerisch",55.5670285864624,-12.3612917906922,65.8535881608518
24,1,"Kuenstlerisch",56.0575489361732,-13.3632256939704,64.4617965871247
25,1,"Kuenstlerisch",48.2583726918615,11.3641446630334,65.199487362397
26,1,"Kuenstlerisch",45.7022327651201,-13.1677372614591,52.8997539321089
27,1,"Kuenstlerisch",53.2501359380797,4.49794830145523,70.3908153325831
28,1,"Kuenstlerisch",51.640295652559,-20.7112028520722,58.0352862377408
29,1,"Kuenstlerisch",47.4102671369664,11.6024518938029,65.1527042457149
30,1,"Kuenstlerisch",48.8050892527505,3.49478309914881,64.4677739954873
31,1,"Kuenstlerisch",50.5888942752546,-4.25425872426981,63.6220476006527
